Time/s	Power/W
350	0.117913871
352	0.123232653
354	0.129615941
356	0.136884566
358	0.144674942
360	0.154105805
362	0.16435375
364	0.175061984
366	0.187326748
368	0.200572217
370	0.213586645
372	0.224462909
374	0.235763977
376	0.248517722
378	0.261012559
380	0.27133791
382	0.281874151
384	0.293026687
386	0.303303239
388	0.31467161
390	0.326308253
392	0.336185423
394	0.348642317
396	0.361648063
398	0.373658793
400	0.385356543
402	0.397829268
404	0.41011134
406	0.42081794
408	0.432932865
410	0.444330055
412	0.457162372
414	0.46853134
416	0.483082999
418	0.498804297
420	0.515374438
422	0.53036689
424	0.54809027
426	0.567272991
428	0.584862221
430	0.604922718
432	0.628496139
434	0.650282118
436	0.677265689
438	0.726414953
440	0.748108164
442	0.755913845
444	0.783847554
446	0.818683361
448	0.850241292
450	0.889638102
452	0.931231511
454	0.970449264
456	1.01482203
458	1.06401546
460	1.11340387
462	1.16207059
464	1.2180775
466	1.27315025
468	1.32444347
470	1.38584733
472	1.45244076
474	1.51217603
476	1.58180853
478	1.65352435
480	1.72262389
482	1.80073175
484	1.87645742
486	1.95303892
488	2.0369298
490	2.1364342
492	2.21400978
494	2.29466013
496	2.38523444
498	2.48118522
500	2.5693555
502	2.67038831
504	2.77119238
506	2.86876639
508	2.964651
510	3.07004643
512	3.17171066
514	3.26626446
516	3.3720778
518	3.47709715
520	3.58314696
522	3.680703
524	3.78476238
526	3.89099978
528	3.99719329
530	4.09140375
532	4.19670778
534	4.29927422
536	4.40141093
538	4.49720665
540	4.59590092
542	4.69780753
544	4.79446544
546	4.89693502
548	4.98426016
550	5.08180437
552	5.17102171
554	5.26891381
556	5.3616659
558	5.43936176
560	5.52681422
562	5.61155321
564	5.69757367
566	5.77681021
568	5.86016176
570	5.94050562
572	6.01042393
574	6.08828259
576	6.16392208
578	6.23713231
580	6.31045987
582	6.37942412
584	6.449784
586	6.50661923
588	6.56975271
590	6.63306764
592	6.69677183
594	6.75790534
596	6.81879283
598	6.87608372
600	6.92931826
602	6.98023177
604	7.02558054
606	7.07533991
608	7.12262045
610	7.16968589
612	7.2183343
614	7.26609778
616	7.31409273
618	7.35691128
620	7.40029918
622	7.43814098
624	7.47925469
626	7.52148753
628	7.55331712
630	7.59235309
632	7.62455147
634	7.65671848
636	7.68900463
638	7.72164094
640	7.751466
642	7.77936566
644	7.80765095
646	7.83385804
648	7.85754492
650	7.88155103
652	7.90612467
654	7.92725041
656	7.94839889
658	7.96865152
660	7.98378369
662	7.99911595
664	8.01920032
666	8.0437585
668	8.06502248
670	8.08495952
672	8.10469464
674	8.12123926
676	8.12431881
678	8.1319231
680	8.13070619
682	8.13283623
684	8.13548741
686	8.14358464
688	8.15469321
690	8.16989541
692	8.17761793
694	8.19554589
696	8.20547848
698	8.21114554
700	8.21869708
702	8.21882259
704	8.22040147
706	8.21555113
708	8.21272715
710	8.20828154
712	8.19989964
714	8.19077104
716	8.17685486
718	8.16115244
720	8.14638588
722	8.13569022
724	8.12926828
726	8.12162489
728	8.11168229
730	8.10305391
732	8.08928326
734	8.07066044
736	8.05177115
738	8.03024341
740	8.00934868
742	7.98292422
744	7.95818232
746	7.93438358
748	7.90616104
750	7.88066609
752	7.84887106
754	7.82002826
756	7.78201957
758	7.74555065
760	7.70834686
762	7.67728125
764	7.64448578
766	7.61012689
768	7.57727094
770	7.53907352
772	7.50036907
774	7.45440866
776	7.41398208
778	7.37118489
780	7.3167289
782	7.26391772
784	7.20960224
786	7.16205932
788	7.12767405
790	7.09744427
792	7.07148956
794	7.04341983
796	7.01741146
798	6.99255042
800	6.96866528
802	6.94478649
804	6.92167396
806	6.89504441
808	6.87229249
810	6.85227724
812	6.82823475
814	6.80596941
816	6.78609877
818	6.76758373
820	6.75248839
822	6.73670365
824	6.72482611
826	6.71543239
828	6.71031785
830	6.70575673
832	6.7051501
834	6.70639747
836	6.71160024
838	6.71918951
840	6.73216209
842	6.74626199
844	6.76098853
846	6.77848675
848	6.80071798
850	6.82615519
852	6.84868428
854	6.87770262
856	6.90487104
858	6.94027358
860	6.96937013
862	7.00186911
864	7.03725573
866	7.06718083
868	7.09488631
870	7.12575229
872	7.17060175
874	7.22057757
876	7.28142504
878	7.34214836
880	7.39666075
882	7.45074203
884	7.50241134
886	7.54690473
888	7.59261502
890	7.63124899
892	7.67445817
894	7.71074065
896	7.74888122
898	7.78645608
900	7.82103598
902	7.85445718
904	7.89185287
906	7.92625087
908	7.95851793
910	7.98747169
912	8.0158643
914	8.04183583
916	8.06617481
918	8.08642199
920	8.10680376
922	8.12048256
924	8.12402868
926	8.11893005
928	8.11254267
930	8.10683832
932	8.10947313
934	8.12596863
936	8.15970543
938	8.19866727
940	8.24717245
942	8.29464898
944	8.340573
946	8.37794596
948	8.41134897
950	8.42973168
952	8.44755868
954	8.45735121
956	8.46229432
958	8.46234798
960	8.46246621
962	8.46129478
964	8.45262639
966	8.43622274
968	8.40472876
970	8.35700394
972	8.30949739
974	8.27973963
976	8.28410339
978	8.32409296
980	8.37817151
982	8.43259841
984	8.46522289
986	8.47807678
988	8.47421143
990	8.45659088
992	8.44917122
994	8.43335511
996	8.41325527
998	8.38943015
1000	8.35807077
1002	8.34159528
1004	8.32320802
1006	8.29198052
1008	8.26165433
1010	8.22541369
1012	8.20877722
1014	8.18637
1016	8.15579097
1018	8.12138478
1020	8.07648394
1022	8.05983927
1024	8.03078456
1026	8.0087384
1028	7.96403583
1030	7.91482671
1032	7.90250033
1034	7.88105172
1036	7.84924032
1038	7.80230312
1040	7.75030185
1042	7.72135263
1044	7.70269708
1046	7.66551511
1048	7.62635
1050	7.57165799
1052	7.54933853
1054	7.51993048
1056	7.49869469
1058	7.43429018
1060	7.39048483
1062	7.33055185
1064	7.3072797
1066	7.29727435
1068	7.30615193
1070	7.29997328
1072	7.27703036
1074	7.2596813
1076	7.2439675
1078	7.24179881
1080	7.21253764
1082	7.17677221
1084	7.1338236
1086	7.10127188
1088	7.08030393
1090	7.04395143
1092	7.00458077
1094	6.95843164
1096	6.92199546
1098	6.84258066
1100	6.81208303
