Time/s	Power/W
350	0.115169705
355	0.130469829
360	0.151329246
365	0.178248072
370	0.210275317
375	0.239049541
380	0.269067215
385	0.296058602
390	0.321278833
395	0.354213569
400	0.383909651
405	0.415061834
410	0.442957798
415	0.474146873
420	0.513011059
425	0.554843439
430	0.602526768
435	0.657534429
440	0.748100092
445	0.797931875
450	0.886698388
455	0.988820261
460	1.11037218
465	1.23793393
470	1.38274766
475	1.54083932
480	1.71588704
485	1.91260278
490	2.13025555
495	2.33556898
500	2.55900409
505	2.81409916
510	3.06258789
515	3.31380693
520	3.57402314
525	3.83330598
530	4.08541609
535	4.34624326
540	4.59421244
545	4.84591192
550	5.07410368
555	5.31068099
560	5.5235646
565	5.74154956
570	5.93901495
575	6.12240729
580	6.31456442
585	6.47384786
590	6.63132869
595	6.78967535
600	6.92811727
605	7.04595368
610	7.16706882
615	7.28664645
620	7.39903544
625	7.50536083
630	7.59081922
635	7.6772867
640	7.75162334
645	7.82350162
650	7.88638499
655	7.93931758
660	7.98597284
665	8.02743853
670	8.08338064
675	8.12174403
680	8.1319422
685	8.1397493
690	8.16850388
695	8.19742581
700	8.2191591
705	8.22142647
710	8.21041976
715	8.18927765
720	8.15310341
725	8.13063525
730	8.10736492
735	8.07106426
740	8.01905117
745	7.95660162
750	7.88748912
755	7.81383369
760	7.72066869
765	7.63988919
770	7.55197834
775	7.45300031
780	7.33653178
785	7.20208845
790	7.11186522
795	7.04434933
800	6.98294753
805	6.92242747
810	6.86485419
815	6.80917947
820	6.76434729
825	6.7297924
830	6.71248335
835	6.71507814
840	6.73081649
845	6.76459331
850	6.81647634
855	6.87833153
860	6.94814753
865	7.02858551
870	7.09729602
875	7.21246806
880	7.35577078
885	7.48996308
890	7.59607292
895	7.69381677
900	7.78874255
905	7.87172758
910	7.94886364
915	8.0161517
920	8.06453136
925	8.07900597
930	8.06362914
935	8.09142784
940	8.19667821
945	8.31018042
950	8.38085816
955	8.41079873
960	8.41375549
965	8.40199755
970	8.32182559
975	8.23315622
980	8.32274145
985	8.42340341
990	8.41258316
995	8.38278538
1000	8.31681882
1005	8.27060376
1010	8.18712942
1015	8.13568477
1020	8.03926559
1025	7.97506891
1030	7.88516263
1035	7.84012082
1040	7.74698128
1045	7.676922
1050	7.56549071
1055	7.50129539
1060	7.39998723
1065	7.28660871
1070	7.30036845
1075	7.23235098
1080	7.21427841
1085	7.12315841
1090	7.07024583
1095	6.93857328
1100	6.81912707
