Time/s	Power/W
350	0.0831425879
352	0.0837173317
354	0.0840366354
356	0.0840915675
358	0.0839656522
360	0.0836234761
362	0.0827535658
364	0.081881403
366	0.0806540044
368	0.0789383208
370	0.0773233211
372	0.0741634807
374	0.0710210202
376	0.0679186627
378	0.0642552607
380	0.0593605947
382	0.0535315188
384	0.0482752611
386	0.0436036487
388	0.0393727966
390	0.0358480463
392	0.0328922276
394	0.0311253459
396	0.0307270369
398	0.0306954178
400	0.0305197858
402	0.0302982919
404	0.030019276
406	0.0297103426
408	0.029360276
410	0.0287449229
412	0.0281993113
414	0.0282635266
416	0.0287757125
418	0.0293769773
420	0.0299819902
422	0.030428378
424	0.0307866976
426	0.0309759685
428	0.0309128403
430	0.0307155901
432	0.0305293675
434	0.0304385352
436	0.0353729952
438	0.0534257545
440	0.0482082143
442	0.0304687866
444	0.02746925
446	0.0274497935
448	0.0276701009
450	0.0279840595
452	0.028301324
454	0.0285137318
456	0.0287671593
458	0.0292549043
460	0.0297503018
462	0.0299335809
464	0.0300064222
466	0.0300207823
468	0.030027028
470	0.0300441343
472	0.0300912539
474	0.0301601979
476	0.0302556984
478	0.0303606491
480	0.030527211
482	0.0306120711
484	0.0306792813
486	0.0307115791
488	0.0307575334
490	0.0308021342
492	0.0308391037
494	0.0308579189
496	0.0308965227
498	0.0309035144
500	0.0308820738
502	0.030858434
504	0.030816846
506	0.0307912806
508	0.0307910852
510	0.0307886694
512	0.0307813153
514	0.0307808037
516	0.0308439532
518	0.0309423527
520	0.0310416794
522	0.0311325827
524	0.0312291419
526	0.0313095505
528	0.0314068629
530	0.0314810791
532	0.0315620383
534	0.0316427204
536	0.0317258717
538	0.0318181534
540	0.0319206208
542	0.0320334266
544	0.0321496429
546	0.0322576454
548	0.0323602478
550	0.0324924336
552	0.0326227507
554	0.0327613598
556	0.0329150645
558	0.0330607222
560	0.0332385532
562	0.0334593153
564	0.0337086199
566	0.033949437
568	0.0342228503
570	0.0345251792
572	0.0348806033
574	0.035609073
576	0.0378863554
578	0.046308049
580	0.0730442125
582	0.146348796
584	0.295355022
586	0.53396866
588	0.92471339
590	1.43075215
592	2.02624074
594	2.62215713
596	3.20804475
598	3.7411985
600	4.21749746
602	4.61383024
604	4.93795733
606	5.2470773
608	5.50135792
610	5.7079933
612	5.88987905
614	6.03584613
616	6.15970248
618	6.26655492
620	6.35968991
622	6.44009151
624	6.50774382
626	6.56940665
628	6.61797276
630	6.66854339
632	6.71309635
634	6.75217871
636	6.79404411
638	6.82672317
640	6.85981513
642	6.88985756
644	6.91827336
646	6.94492155
648	6.9687062
650	6.99238899
652	7.01522049
654	7.03103979
656	7.05021466
658	7.06765695
660	7.0811875
662	7.09584174
664	7.11080975
666	7.12509245
668	7.14795578
670	7.16720024
672	7.18212459
674	7.19321042
676	7.19796117
678	7.19722357
680	7.19592254
682	7.19780974
684	7.19535183
686	7.20037633
688	7.20800563
690	7.21719744
692	7.22625737
694	7.23592348
696	7.24221263
698	7.24887514
700	7.24965776
702	7.24757683
704	7.24574284
706	7.24264692
708	7.23590074
710	7.22990444
712	7.22170125
714	7.21053812
716	7.1949039
718	7.17541707
720	7.16037675
722	7.1487475
724	7.14081398
726	7.13194186
728	7.12171823
730	7.10741278
732	7.09196911
734	7.07363097
736	7.05345838
738	7.03157411
740	7.01059571
742	6.98427129
744	6.9603293
746	6.93597622
748	6.90823481
750	6.8811155
752	6.85157465
754	6.82184464
756	6.78893912
758	6.75137517
760	6.71615908
762	6.68460416
764	6.65272364
766	6.62041339
768	6.58869476
770	6.55253098
772	6.51350047
774	6.47430306
776	6.43653584
778	6.39291557
780	6.347419
782	6.29785382
784	6.24717995
786	6.20239098
788	6.16759144
790	6.14061264
792	6.11363885
794	6.08990149
796	6.06380854
798	6.04106117
800	6.01729562
802	5.99357054
804	5.97137478
806	5.94752828
808	5.92691185
810	5.90336867
812	5.88129706
814	5.85937551
816	5.84022928
818	5.82352732
820	5.80481037
822	5.79267589
824	5.77909259
826	5.76989214
828	5.76305638
830	5.75606373
832	5.75403237
834	5.75405375
836	5.75622153
838	5.75937656
840	5.76815546
842	5.77758101
844	5.78852951
846	5.80214964
848	5.81827589
850	5.83653537
852	5.85409362
854	5.87628665
856	5.8996693
858	5.92645756
860	5.94809717
862	5.97519465
864	6.00277917
866	6.02602131
868	6.04802653
870	6.06989988
872	6.10535835
874	6.14584269
876	6.19458251
878	6.24569111
880	6.29079113
882	6.33758964
884	6.37966559
886	6.41814631
888	6.45416367
890	6.48410196
892	6.51803612
894	6.54821861
896	6.57806595
898	6.60852675
900	6.63800438
902	6.66497908
904	6.69168276
906	6.71707949
908	6.74175999
910	6.76487662
912	6.78770266
914	6.80771609
916	6.82800237
918	6.84264432
920	6.85852001
922	6.86630756
924	6.86555222
926	6.86160593
928	6.85405439
930	6.85022633
932	6.84943325
934	6.86225212
936	6.89189483
938	6.9261514
940	6.96272718
942	6.99929706
944	7.03448632
946	7.06669516
948	7.08997732
950	7.10578615
952	7.11911252
954	7.12354768
956	7.12596284
958	7.12571409
960	7.12251267
962	7.12097199
964	7.11373013
966	7.09896858
968	7.0681358
970	7.0269748
972	6.98444455
974	6.95850531
976	6.96363168
978	6.99640577
980	7.04235481
982	7.08365451
984	7.10951417
986	7.11601797
988	7.11167331
990	7.09469941
992	7.08515199
994	7.0707506
996	7.05067168
998	7.02781654
1000	7.0032429
1002	6.98497024
1004	6.96832603
1006	6.94444952
1008	6.91592822
1010	6.88265618
1012	6.86564726
1014	6.84383849
1016	6.81774009
1018	6.78347806
1020	6.74147623
1022	6.72149554
1024	6.69277324
1026	6.66886217
1028	6.63226638
1030	6.58890076
1032	6.5743161
1034	6.54977657
1036	6.52312974
1038	6.48762261
1040	6.44627517
1042	6.41780207
1044	6.39641257
1046	6.36095137
1048	6.32106003
1050	6.27674717
1052	6.25454913
1054	6.21930849
1056	6.19464117
1058	6.13710108
1060	6.09240806
1062	6.03407898
1064	6.00459452
1066	5.98711313
1068	5.99260875
1070	5.9895483
1072	5.96224572
1074	5.93916548
1076	5.91612434
1078	5.90918626
1080	5.88581179
1082	5.84349027
1084	5.80090364
1086	5.75826971
1088	5.73551733
1090	5.69516988
1092	5.64952097
1094	5.59485898
1096	5.5557216
1098	5.47970922
1100	5.43172882
